[ml]	pH	L_titrant	sim	wt
0	6.259	0	1	1
0.05	5.768	5e-05	1	1
0.1	4.876	1e-04	1	1
0.15	4.449	0.00015	1	1
0.2	4.151	2e-04	1	1
0.25	3.948	0.00025	1	1
0.3	3.738	3e-04	1	1
0.35	3.61	0.00035	1	1
0.4	3.477	4e-04	1	1
0.45	3.462	0.00045	1	1
0.5	3.492	5e-04	1	1
0.55	3.507	0.00055	1	1
0.6	3.522	6e-04	1	1
0.65	3.551	0.00065	1	1
0.7	3.565	7e-04	1	1
0.75	3.58	0.00075	1	1
0.8	3.58	8e-04	1	1
0.85	3.58	0.00085	1	1
0.9	3.536	9e-04	1	1
0.95	3.727	0.00095	1	1
1	3.689	0.001	1	1
1.05	3.507	0.00105	1	1
1.1	3.364	0.0011	1	1
1.15	3.263	0.00115	1	1
1.2	3.169	0.0012	1	1
1.25	3.094	0.00125	1	1
1.3	3.033	0.0013	1	1
1.35	2.969	0.00135	1	1
