[ml]	pH	L_titrant	sim	wt
0	6.097	0	1	1
0.05	6.097	5e-05	1	1
0.1	6.408	1e-04	1	1
0.15	7.3	0.00015	1	1
0.2	7.937	2e-04	1	1
0.25	8.56	0.00025	1	1
0.3	8.504	3e-04	1	1
0.35	9.042	0.00035	1	1
0.4	9.006	4e-04	1	1
0.45	9.551	0.00045	1	1
0.5	9.537	5e-04	1	1
0.55	9.976	0.00055	1	1
0.6	10.004	6e-04	1	1
0.65	10.302	0.00065	1	1
0.7	10.358	7e-04	1	1
0.75	10.556	0.00075	1	1
0.8	10.656	8e-04	1	1
0.85	10.726	0.00085	1	1
0.9	10.797	9e-04	1	1
0.95	10.854	0.00095	1	1
1	10.91	0.001	1	1
1.05	10.953	0.00105	1	1
1.1	10.995	0.0011	1	1
1.15	11.038	0.00115	1	1
