[ml]	pH	L_titrant	sim	wt
0	6.107	0	1	1
0.05	6.097	5e-05	1	1
0.1	6.635	1e-04	1	1
0.15	7.373	0.00015	1	1
0.2	8.136	2e-04	1	1
0.25	8.645	0.00025	1	1
0.3	8.957	3e-04	1	1
0.35	9.197	0.00035	1	1
0.4	9.422	4e-04	1	1
0.45	9.644	0.00045	1	1
0.5	9.849	5e-04	1	1
0.55	10.009	0.00055	1	1
0.6	10.174	6e-04	1	1
0.65	10.316	0.00065	1	1
0.7	10.443	7e-04	1	1
0.75	10.556	0.00075	1	1
0.8	10.656	8e-04	1	1
0.85	10.726	0.00085	1	1
0.9	10.797	9e-04	1	1
0.95	10.868	0.00095	1	1
1	10.925	0.001	1	1
1.05	10.981	0.00105	1	1
1.1	11.024	0.0011	1	1
