[ml]	pH	L_titrant	sim	wt
0	6.072	0	1	1
0.05	6.072	5e-05	1	1
0.1	5.756	1e-04	1	1
0.15	5.469	0.00015	1	1
0.2	5.355	2e-04	1	1
0.25	5.082	0.00025	1	1
0.3	5.297	3e-04	1	1
0.35	5.082	0.00035	1	1
0.4	4.921	4e-04	1	1
0.45	4.707	0.00045	1	1
0.5	4.537	5e-04	1	1
0.55	4.767	0.00055	1	1
0.6	4.566	6e-04	1	1
0.65	4.254	0.00065	1	1
0.7	4.495	7e-04	1	1
0.75	4.336	0.00075	1	1
0.8	4.179	8e-04	1	1
0.85	4.007	0.00085	1	1
0.9	4.151	9e-04	1	1
0.95	4.007	0.00095	1	1
1	3.878	0.001	1	1
1.05	3.749	0.00105	1	1
1.1	3.821	0.0011	1	1
1.15	3.706	0.00115	1	1
1.2	3.606	0.0012	1	1
1.25	3.51	0.00125	1	1
1.3	3.548	0.0013	1	1
1.35	3.462	0.00135	1	1
1.4	3.378	0.0014	1	1
1.45	3.311	0.00145	1	1
1.5	3.328	0.0015	1	1
1.55	3.262	0.00155	1	1
1.6	3.204	0.0016	1	1
1.65	3.147	0.00165	1	1
1.7	3.161	0.0017	1	1
1.75	3.104	0.00175	1	1
1.8	3.061	0.0018	1	1
1.85	3.018	0.00185	1	1
1.9	3.018	0.0019	1	1
1.95	2.975	0.00195	1	1
