[ml]	pH	L_titrant	sim	wt
0	3.898	0	1	1
0.05	4.064	5e-05	1	1
0.1	4.501	1e-04	1	1
0.15	4.969	0.00015	1	1
0.2	5.407	2e-04	1	1
0.25	5.815	0.00025	1	1
0.3	6.147	3e-04	1	1
0.35	6.419	0.00035	1	1
0.4	6.691	4e-04	1	1
0.45	6.766	0.00045	1	1
0.5	6.736	5e-04	1	1
0.55	6.691	0.00055	1	1
0.6	6.647	6e-04	1	1
0.65	6.615	0.00065	1	1
0.7	6.585	7e-04	1	1
0.75	6.555	0.00075	1	1
0.8	6.54	8e-04	1	1
0.85	6.509	0.00085	1	1
0.9	6.494	9e-04	1	1
0.95	6.479	0.00095	1	1
1	6.464	0.001	1	1
1.05	6.449	0.00105	1	1
1.1	9.006	0.0011	1	1
1.15	9.87	0.00115	1	1
1.2	9.922	0.0012	1	1
1.25	10.042	0.00125	1	1
1.3	10.102	0.0013	1	1
1.35	10.209	0.00135	1	1
1.4	10.299	0.0014	1	1
1.45	10.39	0.00145	1	1
1.5	10.495	0.0015	1	1
1.55	10.543	0.00155	1	1
1.6	10.661	0.0016	1	1
1.65	10.715	0.00165	1	1
1.7	10.767	0.0017	1	1
1.75	10.843	0.00175	1	1
1.8	10.888	0.0018	1	1
1.85	10.933	0.00185	1	1
1.9	11.024	0.0019	1	1
