[ml]	pH	L_titrant	sim	wt
0	3.865	0	1	1
0.05	3.9	5e-05	1	1
0.1	4.38	1e-04	1	1
0.15	4.907	0.00015	1	1
0.2	5.401	2e-04	1	1
0.25	5.868	0.00025	1	1
0.3	6.286	3e-04	1	1
0.35	6.698	0.00035	1	1
0.4	7.139	4e-04	1	1
0.45	7.573	0.00045	1	1
0.5	7.898	5e-04	1	1
0.55	8.148	0.00055	1	1
0.6	8.378	6e-04	1	1
0.65	8.642	0.00065	1	1
0.7	8.747	7e-04	1	1
0.75	8.921	0.00075	1	1
0.8	9.091	8e-04	1	1
0.85	9.215	0.00085	1	1
0.9	9.417	9e-04	1	1
0.95	9.596	0.00095	1	1
1	9.711	0.001	1	1
1.05	9.788	0.00105	1	1
1.1	9.943	0.0011	1	1
1.15	10.052	0.00115	1	1
1.2	10.099	0.0012	1	1
1.25	10.191	0.00125	1	1
1.3	10.331	0.0013	1	1
1.35	10.439	0.00135	1	1
1.4	10.529	0.0014	1	1
1.45	10.625	0.00145	1	1
1.5	10.703	0.0015	1	1
1.55	10.78	0.00155	1	1
1.6	10.842	0.0016	1	1
1.65	10.873	0.00165	1	1
1.7	10.93	0.0017	1	1
1.75	10.982	0.00175	1	1
1.8	11.028	0.0018	1	1
